ja,ko,ru,ca,feature_text
There is no feeling that it is not depressed,I don't feel depressed,No depressed mood,No depressed mood,No-depressed-mood
Stable weight,Weight stable,Weight in the stable,Stable weight,Weight-stable
insomnia,insomnia,Insomnia,Insomnia,Insomnia
Appetite reduction,Appetite reduction,Reduced appetite,Decrease of appetite,Decreased-appetite
45 years old,45 years,45 year,45 years old,45-year
I will develop five years ago,5 years ago,Beginning 5 years ago,Start 5 years ago,Onset-5-years-ago
There is no use of caffeine,Caffeine is not used,No use of caffeine,There is no use of caffeine,No-caffeine-use
Related SOB or related breath,The associated SOB or relevant breath is shortened,Relieted fish or associated shortness of breath,Associate Sob or Associate Shortages of Breathing,Associated-SOB-OR-Associated-shortness-of-breath
Heart lace episode,Heart race episode,Episodes of heart races,Heart racing episodes,Episodes-of-heart-racing
Recent Visit to Emergency Office with Minister Workup,Visit to emergency room using recent negative work,Recent Visit to the Emergency Department with negative work,Recent visit to the emergency department with a negative work,Recent-visit-to-emergency-department-with-negative-workup
No chest pain,No chest pain,No chest pain,No pain in the chest,No-chest-pain
There is no illegal drug,There is no use of illegal drugs,No illegal use of drugs,There is no illicit drug use,No-illicit-drug-use
Relevant nausea,Related Means,Association of nausea,Associated nausea,Associated-nausea
Recent frequency increase,Increase recent frequency,Recently increased frequency,Most recently frequently,Increased-frequency-recently
A sense of imminent fate,Impuditive feeling of ruin,Associated feeling of the upcoming death,Associated feeling of imminent condemnation,Associated-feeling-of-impending-doom
Episode for the past 15 to 30 minutes,The episode will last 15 to 30 minutes,Episodes passed 15-30 minutes,Episodes last 15 to 30 minutes,Episodes-last-15-to-30-minutes
Related throat tightness,Related to the pressure,Related tightness of the throat,Amount associated with throat,Associated-throat-tightness
I feel hot and felt,I feel hot or feel,Feels hot or feel,Feels hot or felt closed,Feels-hot-OR-Feels-clammy
Hand Nature Episode or Finger Episode,Episodes of hands or finger paralysis,Episode of manual numbness or episode of finger numbness,Episode of numbness of hand or episode of fingers numbness,Episode-of-hand-numbness-OR-Episode-of-finger-numbness
Fatigue and difficulty level,Fatigue or difficulty concentration,Fatigue or difficulties are concentrated,Fatigue or difficulty concentrating,Fatigue-OR-Difficulty-concentrating
Stress increase,Increased stress,Increase stress,Increasing stress,Increased-stress
26 years old,26 years,26 years,26,26-year
Subjective Fevers.,Subjective fever,Subjective fever,Subjective fevers,Subjective-fevers
Recent respiratory symptoms,Recent upper respiratory symptoms,The last upper respiratory symptoms,Recent superior respiratory symptoms,Recent-upper-respiratory-symptoms
Get worse with deep breathing and pleural flame,More bad breathing or pleural things,Worse with deep breathing or pleuris,Worse with deep or pleuritic respiration,Worse-with-deep-breath-OR-pleuritic
Movement-induced asthma,Movement induction asthma,Exercises induced asthma,Induced asthma exercise,Exercise-induced-asthma
Chest pain,Chest pain,Breast pain,Chest pain,Chest-pain
Period X 1 day,Duration x 1 day,Duration x 1 day,Duration x 1 day,Duration-x-1-day
There is no shortness,There is no shortage of breathing,No shortness,There is no difficulty breathing,No-shortness-of-breath
Recent heavy lifting in work and recent lock climbing,"Recently, heavy lifting at work or recent rock climbing",Recently severe rise at work or recent climbing,Intense elevation in recent work or climbing,Recent-heavy-lifting-at-work-OR-recent-rock-climbing
There is no relief using asthma inhalers,No relaxation with asthma inhaler,Unlike inhaler Asthma,No relief with asthma inhaler,No-relief-with-asthma-inhaler
"Sharp or stab, 7 to 8 out of 10 points on pain scale",From 10 to 8 to 8 to 8-8-8,A sharp or punched or from 7 to 8 out of 10 on the pain scale,Sharp or stinging or from 7 to 8 out of 10 on pain scale,Sharp-OR-stabbing-OR-7-to-8-out-of-10-on-pain-scale
Weight increase,getting fat,Increased weight,The weight gain,Weight-Gain
Heavy period or irregular period,Heavy or irregular period,Heavy periods or irregular periods,heavy periods or irregular periods,heavy-periods-OR-irregular-periods
Last menstruation 2 months ago,Last menstrual period 2 months ago,Last menstrual period 2 months ago,Last menstrual period 2 months ago,Last-menstrual-period-2-months-ago
Unprotected sex,Unprotected sex,Unprotected sex,Sex without protection,Unprotected-Sex
Malaise,fatigue,Fatigue,Fatigue,Fatigue
History of infertility HX or infertility,Infertility HX or infertile history,Infertility hx or infertility story,HX infertility or infertility history,Infertility-HX-OR-Infertility-history
Six months symptoms,Symptoms for 6 months,Symptoms for 6 months,Symptoms for 6 months,symptoms-for-6-months
Appetite increase,Increased appetite,Increase the appetite,Increased appetite,Increased-appetite
My son died three weeks ago,My son died 3 weeks ago,Son died 3 weeks ago,Son died 3 weeks ago,Son-died-3-weeks-ago
Hearing hall,Hearing Psychedelization One,Hearing hallucination once,Hearing hallucination once,Auditory-hallucination-once
Throw and rotate,Throwing and turning,Spinning,throwing and turning,tossing-and-turning
Six7 years,67 years,67 year,67 years,67-year
It is difficult to fall asleep,Difficulty falling in difficulty,Freshness,Difficulty sleeping,Difficulty-falling-asleep
Phantom after taking Ambien,"After taking ambien,",Hallucinations after adoption ambien,Hallucinations after taking ambien,Hallucinations-after-taking-Ambien
3 weeks,3 weeks,Duration 3 weeks,Duration 3 weeks,duration-3-weeks
Failed nap,Failed nap,Unsuccessful flow,Naping unsuccessful,Unsuccessful-napping
Disable sleeping pills,Sleep medication is not effective,Sleeping medicines are ineffective,Ineffective sleep medication,Sleeping-medication-ineffective
Reduce energy or drain water,Feeling that you can reduce energy,Reduced energy or feelings drained,Decreased energy or drainage,Diminished-energy-OR-feeling-drained
Loss of interest,Loss of interest,Loss of interest,Loss of interest,loss-of-interest
Visual hallucination once,Visual Psychedel One,Visual hallucination once,Visual hallucination once,Visual-hallucination-once
Family history of depression FHX or depression,FHX of depression of depression or family history,FHX Depression or Family Depression History,FHX of depression or family history of depression,FHx-of-depression-OR-Family-history-of-depression
Evacuate,Initial fuck,Early awakening,Early entry,Early-wakening
There is no wonderful thing for suicide,I do not suicide.,No suicidal outcome,There are no suicide ideas,No-suicidal-ideations
Sleep difficulty,Difficulty on sleep,Difficulty with sleep,Difficulty with sleep,Difficulty-with-sleep
There is no mottoline or relief rescue using trenol,There is no mitigation with MOTRIN or not relieved to Tylenol.,Without relief from Motrin or without relief with Tilenol,No relief with motrin or no relief with Tylenol,No-relief-with-Motrin-OR-no-relief-with-tylenol
1 day or 2 days,1 day period or period of 2 days,1 day duration or 2 days,1 day duration or 2 days,1-day-duration-OR-2-days-duration
Malgias,YALGIAS.,Malgia,Myalgias,Myalgias
Global headache or diffusion headache,Global headache or spread headache,Global Headache or Diffuse Headache,Global headache or headache spread,Global-headache-OR-diffuse-headache
Neck pain,Neck pain,Pain in the neck,Neck pain,Neck-pain
vomiting,throw up,Vomit,Vomiting,Vomiting
There is no rash,No rash,No rash,Without a rash,No-rash
Virus symptoms or chronic brain or scratch throat,Viral symptoms or rhinitis or scratches,Viral symptoms or Rhinorrehea or scratches,Viral symptoms or rinorrhea or scratched throat,viral-symptoms-OR-rhinorrhea-OR-scratchy-throat
Share apartments,Share Apartments,Shares an apartment,Share an apartment,Shares-an-apartment
Nemorrhabitic vaccine vaccine,Can not know the sterile sterilization vaccine,Meningococcal Vaccine Status Unknown,State of the unknown meningococcal vaccine,Meningococcal-vaccine-status-unknown
Family history of migraine,Family history of migraine,Family history of migraine,Family History of Migraines,Family-history-of-migraines
Fingering,life span,Photophobia,Photophobia,Photophobia
There is no known disease contact,There is no known disease contact,No known diseases contacts,There are no contacts of known diseases,No-known-illness-contacts
Subjective fever,Subjective fever,Subjective fever,Subjective fever,Subjective-fever
